"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7","DeltaAICc","cat_type","area"
"16",16,"beach.agric.urban",239653.924619623,239654.075373392,0.0194140234314826,22.81,0.000158947535248162,-119821.962309812,1.0348460078012,1,0.1,5,2495.8784012081,2500,952.827603446413,1,NA,NA,NA,3.33347413499723,"MC","westcoast"
"17",17,"opend",239654.749928406,239654.809928406,0.0148245207276812,23.138,8.89403875258769e-05,-119824.374964203,1.03487546346558,5,0.5,3,1,2500,NA,NA,NA,NA,NA,4.0680291489989,"MC","westcoast"
"18",18,"fixed.agric.urban",239654.237067412,239654.387821181,0.0338721001144017,27.07,0.000205108287452415,-119822.118533706,1.03485456519049,77,7.7,5,1,233.985588605905,79.0799720929413,2500,NA,NA,NA,3.64592192400596,"MC","westcoast"
"19",19,"scrub.beach.water",239654.65106092,239654.801814688,0.0166747555470451,29.58,4.66292169352217e-05,-119822.32553046,1.03484978821673,0,0,5,733.10891762756,2500,1,178.045528622572,NA,NA,NA,4.05991543098935,"MC","westcoast"
"20",20,"fixed.beach.urban",239654.806368939,239654.957122708,0.0161264484586155,30.289,4.48586030626498e-05,-119822.40318447,1.0348515270859,8,0.8,5,137.892729990402,332.931090506208,1,2500,NA,NA,NA,4.21522345099947,"MC","westcoast"
"21",21,"fixed.agric",239655.267122602,239655.367373229,0.0149457466311751,30.715,0.000268116434888233,-119823.633561301,1.03486937532144,24,2.4,4,1,2500,596.286147880075,NA,NA,NA,NA,4.62547397200251,"MC","westcoast"
"22",22,"fixed.urban",239655.51333064,239655.613581267,0.0122952634986049,33.521,0.000127344319368473,-119823.75666532,1.03487209221028,9,0.9,4,1,631.098405310418,2500,NA,NA,NA,NA,4.87168201000895,"MC","westcoast"
"23",23,"fixed.scrub.agric",239655.391117711,239655.54187148,0.0140660874555472,34.357,0.000172979624205718,-119822.695558855,1.03485567539906,21,2.1,5,1,2500,724.18797661678,916.015546389833,NA,NA,NA,4.79997222300153,"MC","westcoast"
"24",24,"agric.urban",239655.66978012,239655.770030746,0.0123487997708307,35.256,8.11208119114837e-05,-119823.83489006,1.03487371431154,12,1.2,4,1,206.673941759736,2500,NA,NA,NA,NA,5.02813148900168,"MC","westcoast"
"25",25,"fixed.beach",239656.106820632,239656.207071259,0.00656954959958422,38.68,8.79289542100593e-06,-119824.053410316,1.03487270980457,0,0,4,2.64443057937115,1,2500,NA,NA,NA,NA,5.46517200200469,"MC","westcoast"
