"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7","DeltaAICc","cat_type","area"
"43",11,"agric.fixed",1499.93409973751,1501.53409973751,0.0160869749613189,16.401,0.00102685456540084,-745.967049868757,1.13910112963664,0,0,4,1,1387.6532139097,2500,NA,NA,NA,NA,4.99742839480996,"MC","cabour"
"44",12,"urban.scrub",1499.98582740723,1501.58582740722,0.0152945593289543,17.339,0.000962922324424858,-745.992913703613,1.13937552169131,0,0,4,1,2487.59754458414,2500,NA,NA,NA,NA,5.04915606452005,"MC","cabour"
"45",13,"agric.opend",1499.97252850038,1501.57252850038,0.0156413511736932,17.411,0.00183714609876595,-745.986264250191,1.13907717427448,0,0,4,1,1.01008647604021,2500,NA,NA,NA,NA,5.03585715768008,"MC","cabour"
"46",14,"urban.opend",1499.97253250431,1501.57253250431,0.0156412450621958,17.444,0.00183698151932621,-745.986266252155,1.13907718610422,0,0,4,1.00434826225273,1,2500,NA,NA,NA,NA,5.03586116161,"MC","cabour"
"47",15,"fixed.opend",1499.97250960505,1501.57250960505,0.0156407135715621,17.489,0.00183424477042115,-745.986254802524,1.1390772972863,0,0,4,0.999999999999545,1.1304269770676,2500,NA,NA,NA,NA,5.03583826235013,"MC","cabour"
"48",16,"scrub.opend",1499.9725378091,1501.5725378091,0.0156410592899701,17.505,0.00183668576215168,-745.986268904551,1.13907720234732,0,0,4,1.01480708985491,1,2500,NA,NA,NA,NA,5.03586646639997,"MC","cabour"
"49",17,"water.opend",1499.97253984752,1501.57253984752,0.0156412089846579,17.549,0.00183709535643556,-745.986269923761,1.13907719031698,0,0,4,1,2051.28781438147,2500,NA,NA,NA,NA,5.03586850481997,"MC","cabour"
"50",18,"scrub.fixed",1500.03638641373,1501.63638641373,0.0151060014034668,17.917,0.000865853669712402,-746.018193206866,1.13917521592794,0,0,4,1,1002.94137768527,2500,NA,NA,NA,NA,5.09971507103,"MC","cabour"
"51",19,"urban.fixed",1500.0390735408,1501.6390735408,0.0150814320989842,18.192,0.000862738639463736,-746.0195367704,1.13917813736597,0,0,4,1,898.332998197086,2500,NA,NA,NA,NA,5.10240219809998,"MC","cabour"
"52",20,"water.fixed",1500.03942005046,1501.63942005046,0.0150761725587621,18.317,0.000860617792653023,-746.019710025231,1.13917889219928,0,0,4,1,2500,2025.37704490464,NA,NA,NA,NA,5.10274870776016,"MC","cabour"
