"","X","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7","DeltaAICc","cat_type","area"
"13",13,"fixed.beach",29859.5328758725,29859.8313833352,0.0223207802266369,13.024,0.000240911911774447,-14925.7664379363,1.09568907880501,0,0,4,1,1.00000000117188,2500,NA,NA,NA,NA,4.21027216950097,"MC","westhoek"
"14",14,"fixed",29859.5892450021,29859.7670227799,0.0256085079073349,13.195,0.000305719980308061,-14926.7946225011,1.09579996403069,1,0.1,3,2500,1,NA,NA,NA,NA,NA,4.14591161419958,"MC","westhoek"
"15",15,"beach.urban",29859.8975948804,29860.1961023431,0.0189520126150843,14.009,0.00022667871971244,-14925.9487974402,1.09570933118197,0,0,4,1,2500,785.535672596694,NA,NA,NA,NA,4.57499117740008,"MC","westhoek"
"16",16,"scrub",29860.1385420161,29860.3163197938,0.0254366482948159,14.432,0.00562749313222258,-14927.069271008,1.09583887894746,4,0.4,3,1,2500,NA,NA,NA,NA,NA,4.69520862810168,"MC","westhoek"
"17",17,"opend.fixed.scrub.beach",29858.9818383877,29859.6182020241,0.0277858984469891,14.531,0.00164552114700252,-14923.4909191939,1.09540434717663,0,0,6,1,627.093188636827,8.41841532112994,2500,2494.36958357852,NA,NA,3.99709085840004,"MC","westhoek"
"18",18,"fixed.urban",29860.0461159531,29860.3446234157,0.0175842437105711,15.35,0.000219790355472993,-14926.0230579765,1.0957177069446,0,0,4,1,1.13162881964035,2500,NA,NA,NA,NA,4.72351225000239,"MC","westhoek"
"19",19,"opend",29860.823911074,29861.0016888517,0.0310062037278185,16.536,0.00013554090663174,-14927.411955537,1.09587575428204,26,2.6,3,2500,1,NA,NA,NA,NA,NA,5.38057768599901,"MC","westhoek"
"20",20,"scrub.urban",29860.7786976127,29861.0772050754,0.0134769058517004,17.667,0.000187477578688682,-14926.3893488063,1.09575733374723,1,0.1,4,1,13.9314646740099,2500,NA,NA,NA,NA,5.45609390969912,"MC","westhoek"
"21",21,"opend.fixed.scrub.urban",29860.0480176965,29860.6843813329,0.0156961850370885,17.819,0.00112035465796749,-14924.0240088483,1.0954916479701,0,0,6,2.10130225020293,344.647415990683,1,2500,46.5481088520974,NA,NA,5.06327016720024,"MC","westhoek"
"22",22,"fixed.beach.urban",29861.5461935128,29861.9973213323,0.00755121429421046,20.843,0.000239765157390428,-14925.7730967564,1.09568986807427,0,0,5,1.00871696024296,1,2500,1.07659675906052,NA,NA,NA,6.37621016659978,"MC","westhoek"
"23",23,"opend.beach.urban",29861.8976022424,29862.3487300619,0.00645978426934635,21.895,0.000226678356663344,-14925.9488011212,1.09570933159385,0,0,5,1.00000346188926,1,2500,1359.67552211101,NA,NA,NA,6.72761889620233,"MC","westhoek"
"24",24,"scrub.beach.urban",29861.9825891184,29862.433716938,0.00615631742823956,23.008,0.000221585838099222,-14925.9912945592,1.09571419135012,0,0,5,1,1.11987546258342,2500,2144.3817381599,NA,NA,NA,6.81260577230205,"MC","westhoek"
"25",25,"opend.fixed",29862.5947303672,29862.8932378299,0.00736706698285419,23.135,0.000147100274293735,-14927.2973651836,1.09587950500198,0,0,4,1,1240.00751001487,2500,NA,NA,NA,NA,7.27212666420019,"MC","westhoek"
"26",26,"fixed.scrub.urban",29862.4836865088,29862.9348143283,0.0054908394683698,24.247,0.000224753371354423,-14926.2418432544,1.09574276338915,0,0,5,2.08196125719178,1,25.0863049791901,2500,NA,NA,NA,7.31370316259927,"MC","westhoek"
"27",27,"opend.urban",29863.3051639662,29863.6036714289,0.00567145042295708,25.347,8.47120426374212e-05,-14927.6525819831,1.09590349734455,0,0,4,1,115.424279090032,2500,NA,NA,NA,NA,7.98256026320087,"MC","westhoek"
"28",28,"opend.fixed.beach",29863.236693096,29863.6878209156,0.00354323588946566,26.487,0.000149453541785065,-14926.618346548,1.09579012666534,0,0,5,1,1.95772833963201,5.21510379975462,2500,NA,NA,NA,8.06670974989902,"MC","westhoek"
"29",29,"opend.fixed.scrub.beach.urban",29864.4121507696,29865.0485144059,0.00176847665684724,28.831,0.00020984285623726,-14926.2060753848,1.09573870523962,0,0,6,1.48394485232529,1,14.5398498513177,2500,24.644454649313,NA,NA,9.42740324019906,"MC","westhoek"
"30",30,"opend.fixed.urban",29864.5782102237,29865.0293380432,0.00252199842219018,28.853,0.00014610638121498,-14927.2891051118,1.09587744888135,0,0,5,1,1257.60070944971,2500,38.6867353887474,NA,NA,NA,9.40822687750187,"MC","westhoek"
"31",31,"fixed.scrub.beach.urban",29864.7264448076,29865.3628084439,0.00160527110884912,29.695,0.000234501998431464,-14926.3632224038,1.09575635631855,0,0,6,2.72465557092801,1,22.793658600172,1389.90338124146,2500,NA,NA,9.74169727820117,"MC","westhoek"
"32",32,"opend.fixed.beach.urban",29866.5207900576,29867.1571536939,0.000860922191351325,31.591,0.00014835655587905,-14927.2603950288,1.09587323403951,0,0,6,1,1365.97196709395,2500,2498.40437423061,52.3342021374747,NA,NA,11.5360425282015,"MC","westhoek"
"33",1,"Distance",1496.63668846088,1497.08113290532,0.190494346718303,1.587,0.000550315495328893,-746.318344230439,1.14019737976866,628,62.8,2,NA,NA,NA,NA,NA,NA,NA,0,"MC","cabour"
"34",2,"agric",1497.2319817014,1498.15505862448,0.129310655826532,3.018,0.0278650320212891,-745.6159908507,1.14015178847283,269,26.9,3,1,2500,NA,NA,NA,NA,NA,1.07392571916012,"MC","cabour"
"35",3,"opend",1498.5177193844,1499.44079630748,0.0606369241404419,5.72,0.00198309086131497,-746.2588596922,1.13993497350468,25,2.5,3,1,2500,NA,NA,NA,NA,NA,2.35966340216009,"MC","cabour"
"36",4,"fixed",1498.58981288358,1499.51288980665,0.0583831285349058,5.892,0.000959831200081008,-746.294906441789,1.14005671541091,14,1.4,3,1,2500,NA,NA,NA,NA,NA,2.43175690133012,"MC","cabour"
"37",5,"water",1498.63688343842,1499.5599603615,0.0551561969310512,6.377,0.000550134475844311,-746.318441719212,1.14019775222336,0,0,3,1,2500,NA,NA,NA,NA,NA,2.47882745618017,"MC","cabour"
"38",6,"scrub",1498.63975030444,1499.56282722751,0.0550258152393057,6.379,0.000552043282902262,-746.319875152218,1.14020434845335,0,0,3,1,2500,NA,NA,NA,NA,NA,2.48169432219015,"MC","cabour"
"39",7,"urban",1498.63876613692,1499.56184306,0.0550933101794161,6.462,0.000550160571376268,-746.319383068461,1.14020038375392,0,0,3,1,2500,NA,NA,NA,NA,NA,2.48071015468008,"MC","cabour"
"40",8,"agric.water",1498.43385005882,1500.03385005882,0.0527512169234666,6.743,0.022475219908417,-745.216925029409,1.13922776022016,62,6.2,4,1,2500,1500.70832635582,NA,NA,NA,NA,2.95271715350009,"MC","cabour"
"41",9,"scrub.agric",1499.40905852806,1501.00905852806,0.0294746588215621,10.634,0.0104145959746925,-745.704529264028,1.13933825988049,0,0,4,1,2500,1999.02188648935,NA,NA,NA,NA,3.92792562274008,"MC","cabour"
"42",10,"agric.urban",1500.17114428701,1501.77114428701,0.0189378181879673,14.326,0.0036702432667486,-746.085572143503,1.14030043017481,1,0.1,4,1,1989.4192936202,2500,NA,NA,NA,NA,4.69001138169006,"MC","cabour"
