"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"74","opend.scrub.agric.urban",239658.285616356,239658.497203258,0.00203457243895672,71.614,0.000121982671917327,-119823.142808178,1.03486022774356,0,0,6
"75","opend.beach.agric.water.urban",239658.121554982,239658.404383265,0.00203286568144683,71.897,0.000133765940996192,-119822.060777491,1.03484726894408,0,0,7
"76","opend.beach.urban",239658.582286725,239658.733040493,0.00203918559436911,72.876,0.000106514676415604,-119824.291143362,1.03487455066312,0,0,5
"77","opend.scrub.beach.water",239658.513686776,239658.725273678,0.00261844845220622,73.553,0.000233021304206096,-119823.256843388,1.03486027328258,0,0,6
"78","opend.fixed.scrub.agric.urban",239658.27351827,239658.556346552,0.00328187742691979,74.184,5.84144735232177e-05,-119822.136759135,1.03484788623975,0,0,7
"79","opend.scrub.beach.agric.water",239658.568593018,239658.851421301,0.00300390696868718,75.458,0.0002847325932359,-119822.284296509,1.0348473965224,0,0,7
"80","opend.agric.urban",239658.736282003,239658.887035772,0.00190535932651909,75.925,8.79225364717734e-05,-119824.368141002,1.0348753998025,0,0,5
"81","opend.agric.water",239658.750866807,239658.901620575,0.00190451424978645,75.952,8.92795716701283e-05,-119824.375433403,1.03487512854565,0,0,5
"82","opend.scrub.beach.agric.urban",239658.72524168,239659.008069963,0.00214315121157026,78.191,0.000240140140005968,-119822.36262084,1.03484919151793,0,0,7
"83","opend.fixed.scrub.agric.water",239658.667366461,239658.950194744,0.00189962396405639,78.609,0.000144396112173161,-119822.33368323,1.03485162845639,0,0,7
"84","opend.scrub.agric.water",239658.851638103,239659.063225005,0.00175407348524554,79.301,0.000145530311154979,-119823.425819051,1.03486354946165,0,0,6
"85","fixed.scrub.beach.agric.water",239658.86974182,239659.152570103,0.00257823982528258,80.623,0.000188127724094093,-119822.43487091,1.03485255992672,0,0,7
"86","fixed.scrub.beach.agric.urban",239658.884719148,239659.16754743,0.0024625146826987,80.734,0.00018259087509056,-119822.442359574,1.03485250863564,0,0,7
"87","scrub.water.urban",239659.25892875,239659.409682519,0.00184995940470851,81.005,3.28127991526338e-05,-119824.629464375,1.0348798008015,0,0,5
