"","surface","avg.AIC","avg.AICc","avg.weight","avg.rank","avg.R2m","avg.LL","avg.RMSE","n","Percent.top","k"
"83","urban.agric.beach.opend",9938.20144396789,9939.38454255944,0.00162965479512274,79.599,0.00116500878780936,-4963.10072198395,1.17489296714861,0,0,6
"84","beach.scrub.fixed.opend",9938.26527387449,9939.44837246604,0.00164860530277389,80.743,0.00128557914295375,-4963.13263693725,1.17491101634035,0,0,6
"85","urban.scrub.fixed.opend",9938.26798911591,9939.45108770746,0.00152035704964802,80.826,0.000546238358795057,-4963.13399455795,1.17493038234803,0,0,6
"86","water.agric.beach.opend",9938.28744144465,9939.47054003619,0.00159766981346766,81.55,0.00119110524325496,-4963.14372072232,1.174913871836,0,0,6
"87","agric.scrub.fixed.opend",9938.39509061849,9939.57818921004,0.00147276875247704,82.713,0.00101047910970406,-4963.19754530924,1.17494636804234,0,0,6
"88","urban.beach.fixed.opend",9938.38098283277,9939.56408142432,0.00154663043820912,82.72,0.00108995187675288,-4963.19049141638,1.17489430644247,0,0,6
"89","urban.beach.scrub.opend",9938.42859332118,9939.61169191273,0.00147697760138653,83.524,0.000931267256232778,-4963.21429666059,1.17490664439705,0,0,6
"90","urban.agric.beach.fixed",9938.60024911321,9939.78334770476,0.0011675326987516,84.852,0.000232027505748974,-4963.3001245566,1.17498002941344,0,0,6
"91","agric.beach.scrub.opend",9938.50191002514,9939.68500861669,0.00142242783797709,85.036,0.00101445971488245,-4963.25095501257,1.17496820816976,0,0,6
"92","urban.water.beach.fixed",9938.75573391115,9939.9388325027,0.00110892952838623,87.846,0.000214694321192466,-4963.37786695557,1.17500745274748,0,0,6
"93","urban.water.beach.scrub.fixed.opend",9938.81146538672,9940.89842190846,0.00106209440893675,88.26,0.00124399586311984,-4961.40573269336,1.17425128929953,0,0,8
"94","urban.water.agric.beach.scrub.opend",9938.81356455928,9940.90052108102,0.00106952985362818,88.282,0.00125434659854013,-4961.40678227964,1.17425031198248,0,0,8
"95","urban.water.agric.scrub.fixed.opend",9938.82083583838,9940.90779236012,0.00106682235510805,88.563,0.00126533349643503,-4961.41041791919,1.17425028902065,0,0,8
"96","urban.water.agric.fixed",9938.86828137109,9940.05137996264,0.00108929676710079,90.234,0.00020781078318893,-4963.43414068555,1.17503015009268,0,0,6
"97","urban.agric.beach.scrub",9938.90140941615,9940.0845080077,0.00100990777662658,91.128,0.000188241139765035,-4963.45070470808,1.17503903273477,0,0,6
"98","water.agric.beach.scrub",9938.90346847508,9940.08656706663,0.00100965400371338,91.19,0.000186072612862326,-4963.45173423754,1.17503981289608,0,0,6
"99","urban.water.agric.scrub",9938.92073113874,9940.10382973029,0.00100862281013353,91.588,0.000181890497443328,-4963.46036556937,1.17504439052282,0,0,6
"100","urban.agric.scrub.fixed",9938.93702294911,9940.12012154066,0.0010684692709081,91.589,0.000206792522015218,-4963.46851147455,1.17504264527134,0,0,6
"101","urban.beach.scrub.fixed",9938.9187642951,9940.10186288665,0.00100627390189658,91.602,0.000228695442486434,-4963.45938214755,1.17503182420067,0,0,6
"102","urban.water.agric.beach",9938.92063484853,9940.10373344008,0.00100572387748362,91.808,0.000184330163916955,-4963.46031742427,1.17504260787501,0,0,6
"103","urban.water.beach.scrub",9938.92906450432,9940.11216309587,0.00100553626892379,92.272,0.000180803770180611,-4963.46453225216,1.17504609388069,0,0,6
"104","urban.water.scrub.fixed",9939.2421755877,9940.42527417925,0.000922661638524233,95.82,0.000201493136321909,-4963.62108779385,1.1751114274517,0,0,6
"105","water.agric.scrub.fixed.opend",9939.30126604162,9940.90126604162,0.000775828195225473,96.442,0.000878702834596127,-4962.65063302081,1.17473466102354,0,0,7
"106","water.beach.scrub.fixed.opend",9939.69879579223,9941.29879579223,0.000635203407308815,101.289,0.00129911789074789,-4962.84939789611,1.17480324863519,0,0,7
"107","agric.beach.scrub.fixed",9939.76633849457,9940.94943708612,0.000769634330998623,101.358,0.000274747149044306,-4963.88316924729,1.17523233788416,0,0,6
"108","water.agric.beach.fixed.opend",9939.72184807543,9941.32184807543,0.000533948808678963,102.557,0.0005525134606906,-4962.86092403772,1.17480101829415,0,0,7
"109","water.agric.beach.scrub.opend",9939.76108167059,9941.36108167059,0.000578094849889796,103.075,0.000660596073796601,-4962.88054083529,1.17481937842299,0,0,7
"110","urban.water.beach.fixed.opend",9940.04795848041,9941.64795848041,0.000469865342006982,106.022,0.000773419763959399,-4963.0239792402,1.17483999371296,0,0,7
"111","urban.water.agric.fixed.opend",9940.07407088607,9941.67407088607,0.000475584438665569,106.149,0.00085547653658734,-4963.03703544304,1.17483957508801,0,0,7
"112","urban.agric.beach.scrub.opend",9940.22731077572,9941.82731077572,0.000488063213078667,107.086,0.00117890412566311,-4963.11365538786,1.17490131374957,0,0,7
"113","urban.water.agric.beach.opend",9940.20829443452,9941.80829443452,0.000469999257450688,107.321,0.000987355763036038,-4963.10414721726,1.17486029287319,0,0,7
"114","urban.agric.scrub.fixed.opend",9940.26049839811,9941.86049839811,0.000478362170579528,107.607,0.00116260344968571,-4963.13024919905,1.17490457787465,0,0,7
"115","urban.beach.scrub.fixed.opend",9940.35927565255,9941.95927565255,0.000462622021304314,108.593,0.00109437892797201,-4963.17963782627,1.17489109072396,0,0,7
"116","urban.agric.beach.fixed.opend",9940.35426826411,9941.95426826411,0.000461786132061324,108.621,0.0011098168767456,-4963.17713413206,1.17488996260162,0,0,7
"117","agric.beach.scrub.fixed.opend",9940.47191543792,9942.07191543792,0.000449361953896022,109.331,0.00116229713448371,-4963.23595771896,1.17496016185355,0,0,7
"118","water.agric.beach.scrub.fixed",9940.83539434329,9942.43539434329,0.00044484429505268,109.837,0.00219502156430558,-4963.41769717165,1.17508164395183,0,0,7
"119","urban.water.agric.beach.scrub",9940.91499064399,9942.51499064399,0.000301902227766272,113.693,0.000182700786707516,-4963.45749532199,1.17504318532534,0,0,7
"120","urban.water.beach.scrub.fixed",9941.24213277898,9942.84213277898,0.000275573786534139,115.825,0.000201547068928305,-4963.62106638949,1.17511141597202,0,0,7
"121","urban.agric.beach.scrub.fixed",9941.3352299401,9942.9352299401,0.000290419623886408,116.082,0.000164677806330903,-4963.66761497005,1.17512854342699,0,0,7
"122","urban.water.agric.scrub.fixed",9941.24231466384,9942.84231466385,0.000275539083236941,116.122,0.000201470549513437,-4963.62115733192,1.175111457911,0,0,7
"123","urban.water.agric.beach.fixed",9941.28402289353,9942.88402289353,0.00027080213785396,116.375,0.00015109087128907,-4963.64201144676,1.17511747861032,0,0,7
"124","water.agric.beach.scrub.fixed.opend",9942.36149869975,9944.44845522149,0.000140698473785425,121.099,0.00129319467949248,-4963.18074934988,1.17493605131552,0,0,8
"125","urban.water.agric.beach.fixed.opend",9942.25901404685,9944.34597056859,0.000134407198503731,121.337,0.00103353522713669,-4963.12950702343,1.17487014419059,0,0,8
"126","urban.water.agric.beach.scrub.fixed.opend",9942.44409845097,9944.53105497271,0.000129629657644037,121.775,0.0010533740370105,-4963.22204922548,1.17495808763181,0,0,8
"127","urban.agric.beach.scrub.fixed.opend",9942.41254241911,9944.49949894085,0.000118811150612583,122.418,0.00074966265728376,-4963.20627120956,1.17491122688507,0,0,8
"128","urban.water.agric.beach.scrub.fixed",9943.24246399562,9945.32942051736,7.94500893359433e-05,124.528,0.000201383431081705,-4963.62123199781,1.17511149236704,0,0,8
