"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","Feature6","Feature7"
"96","scrub.beach.agric.water",-212945.859198639,6,425903.64447888,425903.802373617,3.42449745085149e-05,0.652027509738834,-212945.82223944,5.66615828196518,5.7684480290045,1.42214965599123,646.384310308374,2500,1,379.305382747873,521.008471704921,NA,NA
"97","scrub.beach.agric.urban",-212948.330830024,6,425908.773160679,425908.931055415,3.02734022786193e-05,0.651724357901663,-212948.386580339,10.7948400809546,10.8971298270044,3.98649055499118,1,80.7558419093689,6.76849371441631,164.731320317577,2500,NA,NA
"98","scrub.beach.water.urban",-99999,6,425911.668863741,425911.826758477,2.65852978703469e-08,0.651956697864841,-212949.83443187,13.6905431429623,13.7928328890121,5.43434208599501,1,210.230044144295,1104.70897968653,1436.58195909108,2500,NA,NA
"99","scrub.agric.water.urban",-99999,6,425911.530582343,425911.688477079,4.57680219378078e-06,0.651974241692331,-212949.765291171,13.5522617449751,13.6545514909667,5.36520138700143,1,2500,21.2171204645829,437.229447115456,2456.29631008195,NA,NA
"100","beach.agric.water.urban",-212945.179253362,6,425902.353990825,425902.511885562,0.000155129227538389,0.652070997278986,-212945.176995413,4.37567022698931,4.47795997397043,0.776905628998065,1412.54159609328,2500,655.802634806175,4.69127520768825,1,NA,NA
"101","opend.fixed.scrub.beach.agric",-212944.454300774,7,425902.915299644,425903.126222432,0.000194631921736517,0.652135351938477,-212944.457649822,4.93697904597502,5.09229684399907,0.0575600379961543,1,2419.45713845474,1465.11178631277,2500,2319.41654328803,1047.8516892632,NA
"102","opend.fixed.scrub.beach.water",-212946.256248042,7,425906.532053452,425906.742976239,0.000223318730936879,0.652253070528517,-212946.266026726,8.5537328539649,8.70905065099942,1.86593694199109,1,2484.54877770547,1572.09182042959,2500,2273.76318740491,2490.25900024856,NA
"103","opend.fixed.scrub.beach.urban",-99999,7,425913.63936777,425913.850290557,1.7091033354612e-07,0.651959123294551,-212949.819683885,15.661047171976,15.8163649690105,5.41959410099662,1,2500,2273.38006274907,119.829845759798,1045.5730936558,1006.73565025167,NA
"104","opend.fixed.scrub.agric.water",-212945.88231882,7,425905.764637639,425905.975560427,0.000118256364468679,0.651949155370866,-212945.88231882,7.78631704096915,7.9416348389932,1.48222903598798,2.2677208655773,223.173805764255,2226.30372138746,788.556372043603,2500,1,NA
"105","opend.fixed.scrub.agric.urban",-212945.519505674,7,425905.038747727,425905.249670514,4.84327760307451e-05,0.652002152275581,-212945.519373864,7.06042712897761,7.21574492601212,1.11928407999221,1,790.992967615047,2500,398.111952668736,1290.6644937971,1439.71500599421,NA
"106","opend.fixed.scrub.water.urban",-212947.025120189,7,425908.049831807,425908.260754594,1.95390975708789e-05,0.65190945447626,-212947.024915904,10.0715112089529,10.2268290059874,2.62482612000895,1,147.145111978538,62.486488557749,2500,108.391916471124,1186.56462750736,NA
"107","opend.fixed.beach.agric.water",-212947.013517627,7,425908.057561295,425908.268484083,0.000180484138716352,0.651880850775733,-212947.028780648,10.0792406969704,10.2345584949944,2.6286908639886,1.47246970097558,802.356058825814,1241.67634985578,2500,2303.59131389587,1,NA
"108","opend.fixed.beach.agric.urban",-212946.560890637,7,425907.121781275,425907.332704062,0.000187466777358123,0.65190638014791,-212946.560890637,9.14346067700535,9.29877847398166,2.16080085298745,1.97545813210218,660.039863145852,1000.15087577714,1,2500,30.6705056627584,NA
"109","opend.fixed.beach.water.urban",-99999,7,425913.661898666,425913.872821453,8.4375829620673e-08,0.651958916185852,-212949.830949333,15.683578067983,15.8388958650175,5.43085954900016,1,2500,951.632973311895,1812.43463315305,2241.42210020672,1189.56090695816,NA
"110","opend.fixed.agric.water.urban",-212946.192752622,7,425906.48225233,425906.693175117,9.63236555315261e-05,0.65180940699767,-212946.241126165,8.50393173197517,8.65924952900968,1.84103638099623,1,65.4912375103272,1068.5720503711,71.1826782369312,1626.54255962868,2500,NA
"111","opend.scrub.beach.agric.water",-212945.486462676,7,425905.301946702,425905.512869489,0.000247606006226098,0.652245653809093,-212945.650973351,7.32362610398559,7.47894390096189,1.25088356700144,1,1547.9784597863,2500,692.047449364664,1456.18379933521,1542.51299824607,NA
"112","opend.scrub.beach.agric.urban",-212945.766509707,7,425905.548554235,425905.759477023,0.000208394533080497,0.652161278692143,-212945.774277118,7.57023363700137,7.7255514349672,1.37418733400409,1,1529.71931735889,2500,682.864659663352,442.571200062948,17.1655977835617,NA
"113","opend.scrub.beach.water.urban",-212947.040078696,7,425908.297841962,425908.50876475,0.00019425646305994,0.652179909687676,-212947.148920981,10.3195213639992,10.4748391619651,2.74883119700826,1,386.121662681119,514.365425709019,2500,362.573352412245,2.30729110402399,NA
"114","opend.scrub.agric.water.urban",-212946.920831783,7,425907.915823682,425908.126746469,9.78322118496428e-05,0.652015209904792,-212946.957911841,9.93750308395829,10.0928208809928,2.55782205698779,1,972.253877235006,2500,208.365088462635,660.485354547721,55.4416286525498,NA
"115","opend.beach.agric.water.urban",-212945.478105908,7,425904.747621645,425904.958544432,0.000112293917749035,0.65198637864256,-212945.373810822,6.76930104696658,6.92461884400109,0.973721037997166,162.795585508088,178.582535575597,2500,69.5846087662394,1393.35286837148,1,NA
"116","fixed.scrub.beach.agric.water",-212946.094604453,7,425906.194836643,425906.40575943,0.000151549591192111,0.651985015504975,-212946.097418322,8.21651604498038,8.37183384201489,1.6973285379936,1,2368.20202142314,688.953848004084,351.257046685096,2500,127.115489266167,NA
"117","fixed.scrub.beach.agric.urban",-212946.096499537,7,425906.192999072,425906.40392186,0.00014769229706836,0.651993202969047,-212946.096499536,8.21467847400345,8.36999627196928,1.69640975201037,2.35466320102842,2246.09308220193,659.567212184231,465.560676293265,2500,1,NA
"118","fixed.scrub.beach.water.urban",-99999,7,425913.533240332,425913.744163119,9.14281535741152e-07,0.651954998974608,-212949.766620166,15.5549197339569,15.7102375309914,5.3665303819871,1,2500,2273.64689052736,2095.09536666651,2226.54059812234,160.55111571964,NA
"119","fixed.scrub.agric.water.urban",-212946.475430693,7,425906.964096594,425907.175019381,0.00014446257182715,0.651979156048924,-212946.482048297,8.98577599599957,9.14109379297588,2.08195851300843,1,2258.18887441577,656.33732976253,2500,110.558558726495,2.36452807357591,NA
"120","fixed.beach.agric.water.urban",-212947.350115396,7,425908.698774429,425908.909697216,0.000117509085399624,0.651871050375933,-212947.349387214,10.7204538309597,10.8757716279943,2.94929742999375,1,2500,14.8845346186731,627.581318896647,8.41038360478251,63.7474240756328,NA
"121","scrub.beach.agric.water.urban",-212948.988199623,7,425911.999414033,425912.210336821,9.05259667107107e-06,0.651923237563028,-212948.999707017,14.0210934350034,14.1764112329693,4.59961723300512,1,387.655284428588,1529.93096471278,96.3645963163367,2500,17.6820037815924,NA
"122","opend.fixed.scrub.beach.agric.water",-212944.394806593,8,425904.800179567,425905.07187768,0.000192924214973939,0.652094977970066,-212944.400089784,6.82185896899318,7.03795209201053,0,1,2202.86795504571,1237.20628280469,2500,1920.86094927901,448.771164171424,551.970583266019
"123","opend.fixed.scrub.beach.agric.urban",-212945.521356861,8,425907.042223451,425907.313921565,4.85681076889705e-05,0.652001874387614,-212945.521111726,9.06390285299858,9.27999597700546,1.1210219420027,1,790.705299256046,2500,402.987255817165,1.1382420779546,1321.02981076311,1464.75048789459
"124","opend.fixed.scrub.beach.water.urban",-99999,8,425915.551614799,425915.823312912,6.38450930822167e-07,0.651960070900747,-212949.7758074,17.5732942009927,17.78938732401,5.37571761599975,1,2099.44455043937,2500,65.2873797342472,1600.51866132477,1152.12028237025,740.163537116593
"125","opend.fixed.scrub.agric.water.urban",-212945.622326968,8,425907.243560071,425907.515258184,3.42470994940722e-05,0.652024016940996,-212945.621780035,9.26523947296664,9.48133259598399,1.2216902509972,1,2202.23116768344,1471.68103077045,2500,976.273030901797,880.219001501647,2215.15406922668
"126","opend.fixed.beach.agric.water.urban",-99999,8,425915.617917725,425915.889615838,3.82289965079833e-07,0.651958623828956,-212949.808958862,17.6395971269812,17.8556902499986,5.4088690780045,1,2500,1939.39675388983,951.209161968561,12.7700532676595,2187.29653871245,650.698682692324
"127","opend.scrub.beach.agric.water.urban",-212945.325431842,8,425906.65935444,425906.931052553,0.000235504359881008,0.652188059455076,-212945.32967722,8.68103384197457,8.89712696499191,0.929587435995927,1,1472.68926731632,2500,696.029350510989,457.215626670172,2094.73357349356,12.0081011622074
"128","fixed.scrub.beach.agric.water.urban",-212946.081067531,8,425908.162135062,425908.433833175,0.000148735246176445,0.651988373371199,-212946.081067531,10.1838144639623,10.3999075869797,1.68097774698981,2.14561984861029,2326.23295407697,700.319217330207,958.626821293806,2500,125.251529074712,1
"129","opend.fixed.scrub.beach.agric.water.urban",-212946.073799067,8,425908.147598134,425908.419296247,0.000148841860100581,0.651984659459871,-212946.073799067,10.1692775359843,10.3853706590016,1.67370928300079,1.91888356203935,1810.41325748238,525.52369534534,2500,1913.31189969994,83.0022783084182,1
