"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","Feature3","Feature4","Feature5","dunearea","Feature6","Feature7"
"215","opend.scrub.beach.water.urban",-8954.29714440541,7,17922.5875433848,17923.74218256,0.0011348145929783,0.564660223095604,-8954.29377169238,4.76664209290175,5.68365750580051,0,1,2500,2108.01472977112,290.255552501819,758.351954980636,"doornpanne",344.745513289979,NA
"216","opend.scrub.agric.water.urban",-8954.34560539038,7,17922.6796457718,17923.8342849471,0.00110694797881736,0.564601333188647,-8954.33982288591,4.85874447990136,5.77575989290199,0.0460511935289105,1,2112.2981818244,1755.58719342405,13.8923560126273,2500,"doornpanne",289.743391499213,NA
"217","opend.beach.agric.water.urban",-8957.18402894968,7,17928.4527465053,17929.6073856805,0.000833918197807579,0.565471553601405,-8957.22637325265,10.6318452134001,11.5488606263025,2.93260156026918,1,282.103766346241,538.898481736095,760.681045740913,2500,"doornpanne",61.1904425469133,NA
"218","fixed.scrub.beach.agric.water",-99999,7,17929.6770026775,17930.8316418528,0.00139213897925236,0.563222996079959,-8957.83850133875,11.8561013856015,12.7731167986021,3.54472964636989,1,456.063157661865,2500,1883.27642433958,2205.45247919337,"doornpanne",197.998616539011,NA
"219","fixed.scrub.beach.agric.urban",-8958.28266259305,7,17930.8672375348,17932.0218767101,5.08705949849567e-05,0.564301858859664,-8958.4336187674,13.0463362429,13.9633516559006,4.13984707501913,1,7.28404378816504,347.331583292338,2500,425.846366006794,"doornpanne",177.095655457039,NA
"220","fixed.scrub.beach.water.urban",-8958.20821461678,7,17930.4161817084,17931.5708208836,0.000109864600600159,0.564322630860142,-8958.20809085419,12.595280416499,13.5122958294014,3.91431916180954,1,1808.87639912922,1548.64013379543,1889.18631610768,2500,"doornpanne",1199.51732334546,NA
"221","fixed.scrub.agric.water.urban",-8958.20841077583,7,17930.4168188296,17931.5714580049,0.000109585815161119,0.564322268205191,-8958.20840941481,12.5959175376993,13.5129329506999,3.91463772242969,1,1039.14214116326,890.813080648988,987.609794699648,2500,"doornpanne",690.852299877047,NA
"222","fixed.beach.agric.water.urban",-8958.24034548654,7,17930.4806909702,17931.6353301455,8.01249682171836e-05,0.564359994095994,-8958.2403454851,12.6597896782987,13.5768050912993,3.94657379271848,1.24688669487477,0.999999999999545,1165.14572189389,283.76804450163,2500,"doornpanne",96.6427384047984,NA
"223","scrub.beach.agric.water.urban",-8957.98942085453,7,17929.9869939451,17931.1416331204,0.000108186483847643,0.564370509284611,-8957.99349697257,12.1660926531986,13.0831080661992,3.69972528018843,1,1.91650805602421,2500,925.81833386184,1440.06275238896,"doornpanne",2.90404088308151,NA
"224","opend.fixed.scrub.beach.agric.water",-8957.18845467901,8,17930.376909358,17931.876909358,0.00100179624017777,0.564703761476058,-8957.18845467901,12.5560080661016,13.8183843038023,2.89468298662905,1.92590145837221,870.01003555847,1,64.6534406232081,1607.48467577611,"doornpanne",2500,1231.41997311041
"225","opend.fixed.scrub.beach.agric.urban",-8957.35644398026,8,17930.7128879605,17932.2128879605,0.000867292844449393,0.565502076883502,-8957.35644398025,12.891986668601,14.1543629063017,3.06267228786965,1.88115515100753,2500,1,6.04179145165836,940.065355662864,"doornpanne",2093.11589607077,634.615745814012
"226","opend.fixed.scrub.beach.water.urban",-8954.32838071543,8,17924.6567614309,17926.1567614309,0.00112856358438913,0.564645155121639,-8954.32838071543,6.83586013899912,8.09823637669979,0.034609023048688,2.03541576880934,2500,1,2026.348017855,210.601595624182,"doornpanne",779.997785436634,333.960542997031
"227","opend.fixed.scrub.agric.water.urban",-8954.3281176016,8,17924.6541852286,17926.1541852286,0.00112074055329921,0.564631445976712,-8954.32709261431,6.83328393669944,8.09566017440011,0.0333209219297714,1.08293852296401,2500,1,2123.85505090147,35.6007735812527,"doornpanne",810.199393281066,339.225960498495
"228","opend.fixed.beach.agric.water.urban",-8957.35967095268,8,17930.7193419054,17932.2193419054,0.000819273869985549,0.565505530580407,-8957.35967095268,12.8984406134987,14.1608168511993,3.06589926029847,2.04495486484984,2244.36440968377,1,1900.10072002503,1090.39902825014,"doornpanne",2500,746.377771708679
"229","opend.scrub.beach.agric.water.urban",-8954.31149917614,8,17924.6097064696,17926.1097064696,0.00113737241893539,0.564666913818306,-8954.30485323481,6.78880517770085,8.05118141540152,0.0110815424286557,1,2500,2051.78065882919,1411.3187802976,17.2957176942596,"doornpanne",738.919669757151,341.194068655574
"230","fixed.scrub.beach.agric.water.urban",-8958.20776675717,8,17932.4152356382,17933.9152356382,0.000109962759822249,0.564322848630076,-8958.20761781912,14.5943343463005,15.8567105840011,3.91384612673937,1,1838.41074020822,1569.57934502105,346.049565540244,1880.21087883323,"doornpanne",2500,1210.08533079063
"231","opend.fixed.scrub.beach.agric.water.urban",-8958.20852131894,8,17932.4170367742,17933.9170367742,0.00010980550394034,0.564322909921604,-8958.2085183871,14.5961354823012,15.8585117200018,3.91474669471972,1,2071.45927007784,1810.0242899994,592.439778283276,1640.21114116913,"doornpanne",2500,1374.55441372599
"232","Null",-14611.8214551299,1,29225.6429102597,29225.672761006,0,0.612961762588278,-14611.8214551299,0,0,1.56329368310071,NA,NA,NA,NA,NA,"teryde",NA,NA
