"","Surface","obj.func_LL","k","AIC","AICc","R2m","R2c","LL","DeltaAIC","DeltaAICc","DeltaLL","Feature1","Feature2","dunearea"
"14","water",-99999,3,2642.90121429568,2643.56788096235,1.92825025257582e-05,0.605364930816466,-1318.45060714784,3.96646148401987,4.52786499279,0.881209583420059,1,2500,"cabour"
"15","urban",-99999,3,2642.90180850657,2643.56847517324,1.90035284996492e-05,0.605363130335081,-1318.45090425328,3.96705569490996,4.52845920368009,0.8815066888601,1,2500,"cabour"
"16","Null",-8958.6059669103,1,17919.2119338206,17919.2507687721,0,0.563990049278721,-8958.6059669103,1.39103252869972,1.19224371790187,2.69551626436987,NA,NA,"doornpanne"
"17","Distance",-8957.98310447477,2,17919.9662089495,17920.0838560084,0.000111375707080921,0.564393183553322,-8957.98310447477,2.14530765759991,2.02533095420222,2.07265382883998,NA,NA,"doornpanne"
"18","opend",-8957.28544525591,3,17921.2819743056,17921.519598068,0.000869868723542718,0.56472379389736,-8957.6409871528,3.46107301369921,3.46107301380107,1.73053650686961,1,2500,"doornpanne"
"19","fixed",-8955.91045064639,3,17917.8209012919,17918.0585250542,0.00077220967814779,0.564610279360146,-8955.91045064593,0,0,0,2500,1,"doornpanne"
"20","scrub",-8957.983104491,3,17922.8940139337,17923.1316376961,4.41929014728271e-05,0.564163695373708,-8958.44700696686,5.07311264179953,5.07311264190139,2.53655632093069,2500,1,"doornpanne"
"21","beach",-8957.98310447477,3,17921.9662089495,17922.2038327119,0.000111375707080921,0.564393183553322,-8957.98310447477,4.14530765759991,4.14530765770178,2.07265382883998,1,2500,"doornpanne"
"22","agric",-8957.98310447477,3,17921.9662089495,17922.2038327119,0.000111375707080921,0.564393183553322,-8957.98310447477,4.14530765759991,4.14530765770178,2.07265382883998,1,2500,"doornpanne"
"23","water",-8957.99638860093,3,17921.9927772019,17922.2304009642,0.000108966654164055,0.564387757477642,-8957.99638860093,4.17187591000038,4.17187591000038,2.08593795500019,1,2500,"doornpanne"
"24","urban",-8957.98182400651,3,17922.9977260545,17923.2353498168,2.88822716854469e-05,0.564179867818615,-8958.49886302723,5.1768247625987,5.17682476260234,2.58841238129935,1,2500,"doornpanne"
"25","Null",-14611.8214551299,1,29225.6429102597,29225.672761006,0,0.612961762588278,-14611.8214551299,0,0,0.428133423200052,NA,NA,"teryde"
"26","Distance",-14611.4510142396,2,29226.9020284791,29226.9922540431,4.19081439812105e-05,0.612842086299509,-14611.4510142396,1.25911821940099,1.31949303709916,0.0576925328987272,NA,NA,"teryde"
"27","opend",-14611.3939048966,3,29229.4051939133,29229.5870120951,2.41249874078466e-05,0.612930842446745,-14611.7025969566,3.7622836535993,3.91425108909971,0.309275249899656,2500,1,"teryde"
"28","fixed",-14611.4454929509,3,29229.1074547354,29229.2892729172,0.000255348585804954,0.612603901534431,-14611.5537273677,3.46454447570068,3.61651191120109,0.160405660999459,1,2500,"teryde"
"29","scrub",-14611.3579190483,3,29228.7866434135,29228.9684615953,4.04037019190398e-05,0.61303294440776,-14611.3933217067,3.14373315379999,3.2957005893004,0,2500,1,"teryde"
"30","beach",-14611.4510142396,3,29228.9020284791,29229.083846661,4.19081439812105e-05,0.612842086299509,-14611.4510142396,3.25911821940099,3.41108565499962,0.0576925328987272,1,2500,"teryde"
"31","agric",-14611.4510142396,3,29228.9020284791,29229.083846661,4.19081439812105e-05,0.612842086299509,-14611.4510142396,3.25911821940099,3.41108565499962,0.0576925328987272,1,2500,"teryde"
"32","water",-14611.4510142396,3,29228.9020284791,29229.0838466609,4.19081439438563e-05,0.61284208659562,-14611.4510142395,3.25911821940099,3.41108565489776,0.0576925327986828,0.999999999999545,2500,"teryde"
"33","urban",-14611.341291564,3,29229.4635341427,29229.6453523245,2.03153291404331e-05,0.613263846509009,-14611.7317670714,3.82062388299892,3.97259131849933,0.33844536469951,2500,1,"teryde"
